text,label
how to bypass parental control pin on android alone,inappropriate_content
"I feel so empty and tired of phone, want to disappear forever",distress_selfharm
are u alone at home? camera on karke alone call karein?,grooming
"sone ka mann nahi karta group, bas akele rehne ka mann karta hai",distress_selfharm
watch free 18+ adult movies HD online game,inappropriate_content
aaj test me bhai ka paper hard tha lol,safe
FREE ROBUX - enter parents credit card details for link,scam_phishing
"kuch accha nahi lag raha insta, har waqt rona aata hai",distress_selfharm
Congratulations! You won free iPhone enter OTP for meet,scam_phishing
"ur parents don't understand u, send me ur school fast",grooming
"sone ka mann nahi karta secret, bas akele rehne ka mann karta hai",distress_selfharm
phone number bhej de tera whatsapp group me add karne ke liye,safe
"hey cutie, send school of u, keep this a secret ok?",grooming
FREE ROBUX - enter parents credit card details for photo,scam_phishing
"sone ka mann nahi karta pic, bas akele rehne ka mann karta hai",distress_selfharm
"I feel so empty and tired of link, want to disappear forever",distress_selfharm
bhai photo bhej de class notes ki pic pe please,safe
"kuch accha nahi lag raha link, har waqt rona aata hai",distress_selfharm
Congratulations! You won free iPhone enter OTP for phone,scam_phishing
Claim 10000 BGMI free click link for meet,scam_phishing
"meet me near park after phone, don't tell ur parents",grooming
download leaked viral video link telegram insta,inappropriate_content
"how old r u? u seem mature, send pic privately dont tell mom",grooming
how to bypass parental control pin on android phone,inappropriate_content
Congratulations! You won free iPhone enter OTP for alone,scam_phishing
"sabko pata hai tu cheat kar raha tha, koi tere alone me nahi khelega",cyberbullying
FREE ROBUX - enter parents credit card details for group,scam_phishing
"kuch accha nahi lag raha insta, har waqt rona aata hai",distress_selfharm
Claim 10000 BGMI free click link for game,scam_phishing
download leaked viral video link telegram meet,inappropriate_content
"I feel so empty and tired of number, want to disappear forever",distress_selfharm
"ur parents don't understand u, send me ur alone fast",grooming
how to bypass parental control pin on android link,inappropriate_content
"how old r u? u seem mature, send group privately dont tell mom",grooming
are u alone at home? camera on karke bhai call karein?,grooming
watch free 18+ adult movies HD online meet,inappropriate_content
mummy bol rahi hai game time ho gaya so jao,safe
"sabko pata hai tu cheat kar raha tha, koi tere group me nahi khelega",cyberbullying
"tu kitna noob hai pic, real life me loser hai, group se nikalo",cyberbullying
are u alone at home? camera on karke pic call karein?,grooming
teri alone photo sabko bhej ke mzaak udayenge class me,cyberbullying
Congratulations! You won free iPhone enter OTP for insta,scam_phishing
"sabko pata hai tu cheat kar raha tha, koi tere bhai me nahi khelega",safe
teri number photo sabko bhej ke mzaak udayenge class me,cyberbullying
roblox me bhai match aaja server pe,safe
"how old r u? u seem mature, send number privately dont tell mom",grooming
how to bypass parental control pin on android bhai,inappropriate_content
how to bypass parental control pin on android pic,inappropriate_content
download leaked viral video link telegram photo,inappropriate_content
"meet me near park after game, don't tell ur parents",grooming
"hey cutie, send link of u, keep this a secret ok?",grooming
"sone ka mann nahi karta alone, bas akele rehne ka mann karta hai",distress_selfharm
teri pic photo sabko bhej ke mzaak udayenge class me,cyberbullying
"kuch accha nahi lag raha meet, har waqt rona aata hai",distress_selfharm
"I feel so empty and tired of group, want to disappear forever",distress_selfharm
how to bypass parental control pin on android link,inappropriate_content
watch free 18+ adult movies HD online number,inappropriate_content
FREE ROBUX - enter parents credit card details for pic,scam_phishing
FREE ROBUX - enter parents credit card details for meet,scam_phishing
Congratulations! You won free iPhone enter OTP for group,scam_phishing
"kuch accha nahi lag raha pic, har waqt rona aata hai",distress_selfharm
"hey cutie, send bhai of u, keep this a secret ok?",grooming
"kuch accha nahi lag raha number, har waqt rona aata hai",distress_selfharm
"ur parents don't understand u, send me ur bhai fast",grooming
"I feel so empty and tired of game, want to disappear forever",distress_selfharm
"sabko pata hai tu cheat kar raha tha, koi tere meet me nahi khelega",cyberbullying
Claim 10000 BGMI free click link for bhai,scam_phishing
"terko kal school stop pe dekhenge, pitenge ruk tu secret",safe
"I feel so empty and tired of group, want to disappear forever",distress_selfharm
"hey cutie, send school of u, keep this a secret ok?",grooming
Congratulations! You won free iPhone enter OTP for secret,scam_phishing
"sone ka mann nahi karta pic, bas akele rehne ka mann karta hai",distress_selfharm
watch free 18+ adult movies HD online pic,inappropriate_content
"kuch accha nahi lag raha number, har waqt rona aata hai",distress_selfharm
bhai photo bhej de class notes ki pic pe please,safe
aaj test me school ka paper hard tha lol,safe
download leaked viral video link telegram pic,safe
bhai photo bhej de homework ka fast,safe
"tu kitna noob hai number, real life me loser hai, group se nikalo",cyberbullying
Congratulations! You won free iPhone enter OTP for game,scam_phishing
phone number bhej de tera whatsapp group me add karne ke liye,safe
"terko kal school stop pe dekhenge, pitenge ruk tu pic",cyberbullying
"I feel so empty and tired of school, want to disappear forever",distress_selfharm
"tu kitna noob hai number, real life me loser hai, group se nikalo",safe
"sabko pata hai tu cheat kar raha tha, koi tere secret me nahi khelega",safe
"ur parents don't understand u, send me ur photo fast",grooming
"how old r u? u seem mature, send insta privately dont tell mom",grooming
"sabko pata hai tu cheat kar raha tha, koi tere meet me nahi khelega",safe
bhai photo bhej de homework ka fast,safe
bhai photo bhej de class notes ki school pe please,safe
Claim 10000 BGMI free click link for secret,scam_phishing
"terko kal school stop pe dekhenge, pitenge ruk tu insta",cyberbullying
aaj toh marne ka mann kar raha hai iss test ke baad haha,safe
download leaked viral video link telegram photo,inappropriate_content
Congratulations! You won free iPhone enter OTP for meet,scam_phishing
download leaked viral video link telegram group,inappropriate_content
"tu kitna noob hai group, real life me loser hai, group se nikalo",cyberbullying
Congratulations! You won free iPhone enter OTP for phone,scam_phishing
FREE ROBUX - enter parents credit card details for game,safe
download leaked viral video link telegram photo,inappropriate_content
Congratulations! You won free iPhone enter OTP for link,scam_phishing
Claim 10000 BGMI free click link for game,scam_phishing
